,precision,recall,f1-score,support
battery,0.5986394557823129,0.6197183098591549,0.6089965397923875,142.0
biological,0.7520661157024794,0.6148648648648649,0.6765799256505576,148.0
brown-glass,0.8412698412698413,0.5824175824175825,0.6883116883116883,91.0
cardboard,0.7894736842105263,0.6716417910447762,0.7258064516129032,134.0
clothes,0.7768421052631579,0.9236545682102628,0.8439108061749572,799.0
green-glass,0.7924528301886793,0.8936170212765957,0.84,94.0
metal,0.4189189189189189,0.26956521739130435,0.328042328042328,115.0
paper,0.5208333333333334,0.7911392405063291,0.628140703517588,158.0
plastic,0.4642857142857143,0.4,0.4297520661157025,130.0
shoes,0.6432432432432432,0.4006734006734007,0.49377593360995853,297.0
trash,0.624,0.75,0.6812227074235808,104.0
white-glass,0.5494505494505495,0.43103448275862066,0.4830917874396135,116.0
accuracy,0.6868556701030928,0.6868556701030928,0.6868556701030928,0.6868556701030928
macro avg,0.6476229826373964,0.6123605399169078,0.6189692448076055,2328.0
weighted avg,0.6805605744874625,0.6868556701030928,0.6727348061022242,2328.0
