,precision,recall,f1-score,support
battery,0.9568345323741008,0.9366197183098591,0.9466192170818505,142.0
biological,0.9652777777777778,0.9391891891891891,0.952054794520548,148.0
brown-glass,0.8876404494382022,0.8681318681318682,0.8777777777777778,91.0
cardboard,0.8970588235294118,0.9104477611940298,0.9037037037037037,134.0
clothes,0.9862671660424469,0.9887359198998749,0.9875,799.0
green-glass,0.9456521739130435,0.925531914893617,0.9354838709677419,94.0
metal,0.8074074074074075,0.9478260869565217,0.872,115.0
paper,0.9395973154362416,0.8860759493670886,0.9120521172638436,158.0
plastic,0.865546218487395,0.7923076923076923,0.8273092369477911,130.0
shoes,0.9572368421052632,0.9797979797979798,0.9683860232945092,297.0
trash,0.9439252336448598,0.9711538461538461,0.957345971563981,104.0
white-glass,0.8495575221238938,0.8275862068965517,0.8384279475982532,116.0
accuracy,0.9407216494845361,0.9407216494845361,0.9407216494845361,0.9407216494845361
macro avg,0.9168334551900038,0.9144503444248432,0.9148883883933334,2328.0
weighted avg,0.9413561095535361,0.9407216494845361,0.9405553279953294,2328.0
