,precision,recall,f1-score,support
battery,0.972027972027972,0.9788732394366197,0.9754385964912281,142.0
biological,0.972972972972973,0.972972972972973,0.972972972972973,148.0
brown-glass,0.9764705882352941,0.9120879120879121,0.9431818181818182,91.0
cardboard,0.9694656488549618,0.9477611940298507,0.9584905660377359,134.0
clothes,0.9863013698630136,0.9912390488110138,0.9887640449438202,799.0
green-glass,0.9680851063829787,0.9680851063829787,0.9680851063829787,94.0
metal,0.8257575757575758,0.9478260869565217,0.8825910931174089,115.0
paper,0.9731543624161074,0.9177215189873418,0.9446254071661238,158.0
plastic,0.8688524590163934,0.8153846153846154,0.8412698412698413,130.0
shoes,0.959866220735786,0.9663299663299664,0.9630872483221476,297.0
trash,0.9711538461538461,0.9711538461538461,0.9711538461538461,104.0
white-glass,0.8305084745762712,0.8448275862068966,0.8376068376068376,116.0
accuracy,0.9544673539518901,0.9544673539518901,0.9544673539518901,0.9544673539518901
macro avg,0.9395513830827645,0.9361885911450448,0.9372722815538969,2328.0
weighted avg,0.9553009311769203,0.9544673539518901,0.9545168424550553,2328.0
